3.156 1544.800 1529.170 1577.190 1577.190
3.165 1553.370 1537.520 1585.680 1585.680
3.175 1561.940 1545.870 1594.160 1594.160
3.184 1570.520 1554.220 1602.650 1602.650
3.193 1579.090 1562.570 1611.140 1611.140
3.203 1587.660 1570.920 1619.630 1619.630
3.212 1596.230 1579.270 1628.120 1628.120
3.221 1604.810 1587.620 1636.610 1636.610
3.231 1613.380 1595.970 1645.100 1645.100
3.240 1621.950 1604.320 1653.590 1653.590
3.249 1630.520 1612.670 1662.080 1662.080
3.259 1639.100 1621.020 1670.570 1670.570
3.268 1647.670 1629.370 1679.060 1679.060
3.277 1656.240 1637.720 1687.540 1687.540
3.287 1664.810 1646.070 1696.030 1696.030
3.296 1673.390 1654.420 1704.520 1704.520
3.306 1681.960 1662.770 1713.010 1713.010
3.315 1690.530 1671.120 1721.500 1721.500
3.324 1699.100 1679.480 1729.990 1729.990
3.334 1707.680 1687.830 1738.480 1738.480
3.343 1716.250 1696.180 1746.970 1746.970
3.352 1724.820 1704.530 1755.460 1755.460
3.362 1733.390 1712.880 1763.950 1763.950
3.371 1741.970 1721.230 1772.440 1772.440
3.380 1750.540 1729.580 1780.920 1780.920
3.390 1759.110 1737.930 1789.410 1789.410
3.399 1767.680 1746.280 1797.900 1797.900
3.409 1776.260 1754.630 1806.390 1806.390
3.418 1784.830 1762.980 1814.880 1814.880
3.427 1793.400 1771.330 1823.370 1823.370
3.437 1801.970 1779.680 1831.860 1831.860
3.446 1810.550 1788.030 1840.350 1840.350
3.455 1819.120 1796.380 1848.840 1848.840
3.465 1827.690 1804.730 1857.330 1857.330
3.474 1836.260 1813.080 1865.810 1865.810
3.483 1844.840 1821.430 1874.300 1874.300
3.493 1853.410 1829.780 1882.790 1882.790
3.502 1862.230 1838.380 1891.530 1891.530
3.512 1871.870 1847.790 1901.060 1901.060
3.521 1881.510 1857.210 1910.600 1910.600
3.530 1891.150 1866.630 1920.140 1920.140
3.540 1900.800 1876.050 1929.680 1929.680
3.549 1910.440 1885.460 1939.220 1939.220
3.558 1920.080 1894.880 1948.760 1948.760
3.568 1929.720 1904.300 1958.290 1958.290
3.577 1939.360 1913.720 1967.830 1967.830
3.586 1949.010 1923.130 1977.370 1977.370
3.596 1958.650 1932.550 1986.910 1986.910
3.605 1968.290 1941.970 1996.450 1996.450
3.615 1977.930 1951.390 2005.990 2005.990
3.624 1987.570 1960.800 2015.520 2015.520
3.633 1997.220 1970.220 2025.060 2025.060
3.643 2006.860 1979.640 2034.600 2034.600
3.652 2016.500 1989.060 2044.140 2044.140
3.661 2026.140 1998.470 2053.680 2053.680
3.671 2035.780 2007.890 2063.220 2063.220
3.680 2045.420 2017.310 2072.750 2072.750
