#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
28.5 44.4582 72.3013 10.3487 202.699
28.6 53.4833 49.959 9.3263 225.041
28.7 62.5593 29.8037 7.58532 245.196
28.8 71.6791 13.8083 5.32969 261.192
28.9 80.8311 3.53868 2.74488 271.461
29 179.994 0 180 275
29.1 99.1689 3.53868 177.255 271.461
29.2 108.321 13.8083 174.67 261.192
29.3 117.441 29.8037 172.415 245.196
29.4 126.517 49.959 170.674 225.041
29.5 135.542 72.3013 169.651 202.699
29.6 144.514 94.6436 169.559 180.356
29.7 153.436 114.799 170.582 160.201
29.8 162.316 130.794 172.798 144.206
29.9 171.166 141.064 176.078 133.936
30 180 144.603 180 130.397
30.1 8.83408 141.064 3.92232 133.936
30.2 17.684 130.794 7.20168 144.206
30.3 26.5641 114.799 9.41839 160.201
30.4 35.4863 94.6436 10.4407 180.356
30.5 44.4582 72.3013 10.3487 202.699
30.6 53.4833 49.959 9.3263 225.041
30.7 62.5593 29.8037 7.58532 245.196
30.8 71.6791 13.8083 5.32969 261.192
30.9 80.8311 3.53868 2.74488 271.461
31 32.6183 0 6.48278e-14 275
31.1 99.1689 3.53868 177.255 271.461
31.2 108.321 13.8083 174.67 261.192
31.3 117.441 29.8037 172.415 245.196
31.4 126.517 49.959 170.674 225.041
31.5 135.542 72.3013 169.651 202.699
31.6 144.514 94.6436 169.559 180.356
31.7 153.436 114.799 170.582 160.201
31.8 162.316 130.794 172.798 144.206
31.9 171.166 141.064 176.078 133.936
32 180 144.603 180 130.397
32.1 8.83408 141.064 3.92232 133.936
32.2 17.684 130.794 7.20168 144.206
32.3 26.5641 114.799 9.41839 160.201
32.4 35.4863 94.6436 10.4407 180.356
32.5 44.4582 72.3013 10.3487 202.699
32.6 53.4833 49.959 9.3263 225.041
32.7 62.5593 29.8037 7.58532 245.196
32.8 71.6791 13.8083 5.32969 261.192
32.9 80.8311 3.53868 2.74488 271.461
33 2.43647 0 4.31021e-15 275
33.1 99.1689 3.53868 177.255 271.461
33.2 108.321 13.8083 174.67 261.192
33.3 117.441 29.8037 172.415 245.196
33.4 126.517 49.959 170.674 225.041
33.5 135.542 72.3013 169.651 202.699
33.6 144.514 94.6436 169.559 180.356
33.7 153.436 114.799 170.582 160.201
33.8 162.316 130.794 172.798 144.206
33.9 171.166 141.064 176.078 133.936
34 8.26927e-14 144.603 3.78147e-14 130.397
34.1 8.83408 141.064 3.92232 133.936
34.2 17.684 130.794 7.20168 144.206
34.3 26.5641 114.799 9.41839 160.201
34.4 35.4863 94.6436 10.4407 180.356
34.5 44.4582 72.3013 10.3487 202.699
34.6 53.4833 49.959 9.3263 225.041
34.7 62.5593 29.8037 7.58532 245.196
34.8 71.6791 13.8083 5.32969 261.192
34.9 80.8311 3.53868 2.74488 271.461
35 34.3188 0 6.91489e-14 275
35.1 99.1689 3.53868 177.255 271.461
35.2 108.321 13.8083 174.67 261.192
35.3 117.441 29.8037 172.415 245.196
35.4 126.517 49.959 170.674 225.041
35.5 135.542 72.3013 169.651 202.699
35.6 144.514 94.6436 169.559 180.356
35.7 153.436 114.799 170.582 160.201
35.8 162.316 130.794 172.798 144.206
35.9 171.166 141.064 176.078 133.936
36 180 144.603 180 130.397
36.1 8.83408 141.064 3.92232 133.936
36.2 17.684 130.794 7.20168 144.206
36.3 26.5641 114.799 9.41839 160.201
36.4 35.4863 94.6436 10.4407 180.356
36.5 44.4582 72.3013 10.3487 202.699
36.6 53.4833 49.959 9.3263 225.041
36.7 62.5593 29.8037 7.58532 245.196
36.8 71.6791 13.8083 5.32969 261.192
36.9 80.8311 3.53868 2.74488 271.461
37 4.87029 0 8.63133e-15 275
37.1 99.1689 3.53868 177.255 271.461
37.2 108.321 13.8083 174.67 261.192
37.3 117.441 29.8037 172.415 245.196
37.4 126.517 49.959 170.674 225.041
37.5 135.542 72.3013 169.651 202.699
37.6 144.514 94.6436 169.559 180.356
37.7 153.436 114.799 170.582 160.201
37.8 162.316 130.794 172.798 144.206
37.9 171.166 141.064 176.078 133.936
