#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
25.2 77.4001 13.7345 176.166 244.213
25.3 96.6132 24.9656 174.592 232.982
25.4 111.651 39.1177 173.433 218.83
25.5 124.686 54.8054 172.828 203.142
25.6 136.625 70.4931 172.898 187.454
25.7 147.913 84.6451 173.718 173.302
25.8 158.802 95.8762 175.283 162.071
25.9 169.455 103.087 177.465 154.86
26 1.31396e-13 105.572 3.24227e-14 152.376
26.1 10.5446 103.087 2.53514 154.86
26.2 21.1984 95.8762 4.71666 162.071
26.3 32.0868 84.6451 6.28198 173.302
26.4 43.3748 70.4931 7.10241 187.454
26.5 55.3141 54.8054 7.17164 203.142
26.6 68.3486 39.1177 6.56655 218.83
26.7 83.3868 24.9656 5.40803 232.982
26.8 102.6 13.7345 3.83396 244.213
26.9 131.766 6.52368 1.98512 251.424
27 180 4.03899 4.38364e-14 253.908
27.1 48.2344 6.52368 178.015 251.424
27.2 77.4001 13.7345 176.166 244.213
27.3 96.6132 24.9656 174.592 232.982
27.4 111.651 39.1177 173.433 218.83
27.5 124.686 54.8054 172.828 203.142
27.6 136.625 70.4931 172.898 187.454
27.7 147.913 84.6451 173.718 173.302
27.8 158.802 95.8762 175.283 162.071
27.9 169.455 103.087 177.465 154.86
28 180 105.572 180 152.376
28.1 10.5446 103.087 2.53514 154.86
28.2 21.1984 95.8762 4.71666 162.071
28.3 32.0868 84.6451 6.28198 173.302
28.4 43.3748 70.4931 7.10241 187.454
28.5 55.3141 54.8054 7.17164 203.142
28.6 68.3486 39.1177 6.56655 218.83
28.7 83.3868 24.9656 5.40803 232.982
28.8 102.6 13.7345 3.83396 244.213
28.9 131.766 6.52368 1.98512 251.424
29 0 4.03899 180 253.908
29.1 48.2344 6.52368 178.015 251.424
29.2 77.4001 13.7345 176.166 244.213
29.3 96.6132 24.9656 174.592 232.982
29.4 111.651 39.1177 173.433 218.83
29.5 124.686 54.8054 172.828 203.142
29.6 136.625 70.4931 172.898 187.454
29.7 147.913 84.6451 173.718 173.302
29.8 158.802 95.8762 175.283 162.071
29.9 169.455 103.087 177.465 154.86
