#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
26.3 19.5305 104.034 9.24656 136.795
26.4 25.4659 87.1695 10.2619 153.66
26.5 30.7259 68.4756 10.1822 172.353
26.6 34.8091 49.7817 9.18427 191.047
26.7 36.7302 32.9176 7.47489 207.911
26.8 34.3824 19.5343 5.25463 221.295
26.9 23.3902 10.9416 2.70699 229.887
27 5.91331e-13 7.98079 5.96771e-14 232.848
27.1 156.61 10.9416 177.293 229.887
27.2 145.618 19.5343 174.745 221.295
27.3 143.27 32.9176 172.525 207.911
27.4 145.191 49.7817 170.816 191.047
27.5 149.274 68.4756 169.818 172.353
27.6 154.534 87.1695 169.738 153.66
27.7 160.469 104.034 170.753 136.795
27.8 166.799 117.417 172.937 123.412
27.9 173.35 126.01 176.157 114.819
28 180 128.97 180 111.859
28.1 6.65002 126.01 3.84349 114.819
28.2 13.2006 117.417 7.06263 123.412
28.3 19.5305 104.034 9.24656 136.795
28.4 25.4659 87.1695 10.2619 153.66
28.5 30.7259 68.4756 10.1822 172.353
28.6 34.8091 49.7817 9.18427 191.047
28.7 36.7302 32.9176 7.47489 207.911
28.8 34.3824 19.5343 5.25463 221.295
28.9 23.3902 10.9416 2.70699 229.887
29 180 7.98079 180 232.848
29.1 156.61 10.9416 177.293 229.887
29.2 145.618 19.5343 174.745 221.295
29.3 143.27 32.9176 172.525 207.911
29.4 145.191 49.7817 170.816 191.047
29.5 149.274 68.4756 169.818 172.353
29.6 154.534 87.1695 169.738 153.66
29.7 160.469 104.034 170.753 136.795
29.8 166.799 117.417 172.937 123.412
29.9 173.35 126.01 176.157 114.819
30 180 128.97 180 111.859
30.1 6.65002 126.01 3.84349 114.819
30.2 13.2006 117.417 7.06263 123.412
30.3 19.5305 104.034 9.24656 136.795
30.4 25.4659 87.1695 10.2619 153.66
30.5 30.7259 68.4756 10.1822 172.353
30.6 34.8091 49.7817 9.18427 191.047
30.7 36.7302 32.9176 7.47489 207.911
30.8 34.3824 19.5343 5.25463 221.295
30.9 23.3902 10.9416 2.70699 229.887
31 6.33561e-13 7.98079 6.3939e-14 232.848
31.1 156.61 10.9416 177.293 229.887
31.2 145.618 19.5343 174.745 221.295
31.3 143.27 32.9176 172.525 207.911
31.4 145.191 49.7817 170.816 191.047
31.5 149.274 68.4756 169.818 172.353
31.6 154.534 87.1695 169.738 153.66
31.7 160.469 104.034 170.753 136.795
31.8 166.799 117.417 172.937 123.412
31.9 173.35 126.01 176.157 114.819
32 180 128.97 180 111.859
32.1 6.65002 126.01 3.84349 114.819
32.2 13.2006 117.417 7.06263 123.412
32.3 19.5305 104.034 9.24656 136.795
