#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
19.9 173.221 128.995 176.009 113.334
20 180 132.049 180 110.28
20.1 6.77865 128.995 3.99126 113.334
20.2 13.4637 120.132 7.32361 122.198
20.3 19.9403 106.326 9.56974 136.003
20.4 26.0431 88.9306 10.5991 153.398
20.5 31.5023 69.6473 10.4974 172.682
20.6 35.8309 50.364 9.45407 191.965
20.7 38.0555 32.9684 7.68536 209.361
20.8 36.0258 19.1631 5.39809 223.166
20.9 24.9673 10.2995 2.77953 232.029
21 180 7.24538 180 235.084
21.1 155.033 10.2995 177.22 232.029
21.2 143.974 19.1631 174.602 223.166
21.3 141.945 32.9684 172.315 209.361
21.4 144.169 50.364 170.546 191.965
21.5 148.498 69.6473 169.503 172.682
21.6 153.957 88.9306 169.401 153.398
21.7 160.06 106.326 170.43 136.003
21.8 166.536 120.132 172.676 122.198
21.9 173.221 128.995 176.009 113.334
22 180 132.049 180 110.28
22.1 6.77865 128.995 3.99126 113.334
22.2 13.4637 120.132 7.32361 122.198
22.3 19.9403 106.326 9.56974 136.003
22.4 26.0431 88.9306 10.5991 153.398
22.5 31.5023 69.6473 10.4974 172.682
22.6 35.8309 50.364 9.45407 191.965
22.7 38.0555 32.9684 7.68536 209.361
22.8 36.0258 19.1631 5.39809 223.166
22.9 24.9673 10.2995 2.77953 232.029
23 5.94501e-13 7.24538 5.68909e-14 235.084
23.1 155.033 10.2995 177.22 232.029
23.2 143.974 19.1631 174.602 223.166
23.3 141.945 32.9684 172.315 209.361
23.4 144.169 50.364 170.546 191.965
23.5 148.498 69.6473 169.503 172.682
23.6 153.957 88.9306 169.401 153.398
23.7 160.06 106.326 170.43 136.003
23.8 166.536 120.132 172.676 122.198
23.9 173.221 128.995 176.009 113.334
24 180 132.049 180 110.28
24.1 6.77865 128.995 3.99126 113.334
24.2 13.4637 120.132 7.32361 122.198
24.3 19.9403 106.326 9.56974 136.003
24.4 26.0431 88.9306 10.5991 153.398
24.5 31.5023 69.6473 10.4974 172.682
24.6 35.8309 50.364 9.45407 191.965
24.7 38.0555 32.9684 7.68536 209.361
24.8 36.0258 19.1631 5.39809 223.166
24.9 24.9673 10.2995 2.77953 232.029
25 180 7.24538 180 235.084
25.1 155.033 10.2995 177.22 232.029
25.2 143.974 19.1631 174.602 223.166
25.3 141.945 32.9684 172.315 209.361
25.4 144.169 50.364 170.546 191.965
25.5 148.498 69.6473 169.503 172.682
25.6 153.957 88.9306 169.401 153.398
