 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\32_77.txt

 Ion = Germanium [32] , Mass = 77 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 200.00 MeV   6.026E+01  5.709E-02  234.18 mm     5.76 mm     2.70 mm  
 225.00 MeV   5.861E+01  5.157E-02  258.18 mm     6.69 mm     2.73 mm  
 250.00 MeV   5.697E+01  4.707E-02  282.86 mm     7.54 mm     2.76 mm  
 275.00 MeV   5.538E+01  4.333E-02  308.24 mm     8.36 mm     2.79 mm  
 300.00 MeV   5.386E+01  4.017E-02  334.36 mm     9.14 mm     2.82 mm  
 325.00 MeV   5.240E+01  3.747E-02  361.20 mm     9.90 mm     2.85 mm  
 350.00 MeV   5.103E+01  3.512E-02  388.78 mm    10.64 mm     2.88 mm  
 375.00 MeV   4.972E+01  3.307E-02  417.10 mm    11.37 mm     2.91 mm  
 400.00 MeV   4.847E+01  3.125E-02  446.16 mm    12.09 mm     2.94 mm  
 450.00 MeV   4.617E+01  2.819E-02  506.47 mm    14.80 mm     3.01 mm  
 500.00 MeV   4.407E+01  2.570E-02  569.72 mm    17.29 mm     3.08 mm  
 550.00 MeV   4.216E+01  2.363E-02  635.91 mm    19.67 mm     3.16 mm  
 600.00 MeV   4.040E+01  2.189E-02  705.04 mm    21.96 mm     3.24 mm  
 650.00 MeV   3.878E+01  2.040E-02  777.12 mm    24.22 mm     3.32 mm  
 700.00 MeV   3.727E+01  1.911E-02  852.18 mm    26.44 mm     3.41 mm  
 800.00 MeV   3.453E+01  1.698E-02    1.01 m     34.73 mm     3.61 mm  
 900.00 MeV   3.213E+01  1.530E-02    1.18 m     42.35 mm     3.83 mm  
   1.00 GeV   3.000E+01  1.393E-02    1.37 m     49.70 mm     4.08 mm  
   1.10 GeV   2.809E+01  1.280E-02    1.56 m     56.96 mm     4.35 mm  
   1.20 GeV   2.640E+01  1.184E-02    1.77 m     64.21 mm     4.64 mm  
   1.30 GeV   2.488E+01  1.103E-02    2.00 m     71.53 mm     4.96 mm  
   1.40 GeV   2.353E+01  1.032E-02    2.23 m     78.93 mm     5.30 mm  
   1.50 GeV   2.233E+01  9.707E-03    2.48 m     86.43 mm     5.67 mm  
   1.60 GeV   2.127E+01  9.163E-03    2.74 m     94.03 mm     6.06 mm  
   1.70 GeV   2.034E+01  8.680E-03    3.02 m    101.73 mm     6.47 mm  
   1.80 GeV   1.952E+01  8.247E-03    3.30 m    109.51 mm     6.91 mm  
   2.00 GeV   1.819E+01  7.504E-03    3.91 m    139.06 mm     7.84 mm  
   2.25 GeV   1.705E+01  6.752E-03    4.72 m    180.20 mm     9.10 mm  
   2.50 GeV   1.594E+01  6.142E-03    5.58 m    217.86 mm    10.45 mm  
   2.75 GeV   1.489E+01  5.637E-03    6.51 m    254.23 mm    11.89 mm  
   3.00 GeV   1.399E+01  5.213E-03    7.50 m    290.16 mm    13.42 mm  
   3.25 GeV   1.320E+01  4.850E-03    8.55 m    325.96 mm    15.04 mm  
   3.50 GeV   1.251E+01  4.536E-03    9.66 m    361.82 mm    16.74 mm  
   3.75 GeV   1.190E+01  4.263E-03   10.83 m    397.85 mm    18.53 mm  
   4.00 GeV   1.135E+01  4.021E-03   12.06 m    434.11 mm    20.41 mm  
   4.50 GeV   1.042E+01  3.615E-03   14.68 m    571.28 mm    24.39 mm  
   5.00 GeV   9.645E+00  3.286E-03   17.53 m    699.04 mm    28.67 mm  
   5.50 GeV   8.999E+00  3.014E-03   20.59 m    822.48 mm    33.25 mm  
   6.00 GeV   8.449E+00  2.786E-03   23.87 m    943.86 mm    38.11 mm  
   6.50 GeV   7.975E+00  2.590E-03   27.34 m      1.06 m     43.23 mm  
   7.00 GeV   7.559E+00  2.422E-03   31.02 m      1.18 m     48.61 mm  
   8.00 GeV   6.849E+00  2.145E-03   38.95 m      1.63 m     60.14 mm  
   9.00 GeV   6.287E+00  1.927E-03   47.65 m      2.04 m     72.65 mm  
  10.00 GeV   5.831E+00  1.751E-03   57.08 m      2.44 m     86.07 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.7519E-03                 eV / Angstrom 
  1.7519E-02                keV / micron   
  1.7519E-02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.6471E+00                 eV / (1E15 atoms/cm2)
  4.4105E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
