   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  40.00 MeV   1.451E-02  6.175E-06   98.53 m      3.78 m      1.43 m   
  45.00 MeV   1.319E-02  5.541E-06  122.11 m      5.06 m      1.77 m   
  50.00 MeV   1.211E-02  5.028E-06  147.91 m      6.26 m      2.13 m   
  55.00 MeV   1.122E-02  4.606E-06  175.88 m      7.42 m      2.53 m   
  60.00 MeV   1.047E-02  4.250E-06  205.97 m      8.58 m      2.95 m   
  65.00 MeV   9.823E-03  3.948E-06  238.13 m      9.73 m      3.40 m   
  70.00 MeV   9.266E-03  3.687E-06  272.30 m     10.89 m      3.87 m   
  80.00 MeV   8.350E-03  3.259E-06  346.45 m     15.16 m      4.89 m   
  90.00 MeV   7.627E-03  2.923E-06  428.16 m     19.11 m      6.01 m   
 100.00 MeV   7.042E-03  2.651E-06  517.15 m     22.93 m      7.22 m
