Energy CM (MeV)	Angle CM (deg)
0.1713	149.9892
2.2622	73.0326
1.0620	130.4085
0.1442	138.8301
6.0643	45.2621
1.1230	40.8701
1.0811	128.2581
1249.8000	4.9782
0.9019	160.1888
0.8957	162.6204
0.9672	144.0775
1.7744	89.2258
15129.1714	16.6437
1412165057.9459	0.0063
0.9045	159.2690
0.8919	164.2705
4.9039	44.9782
0.8978	161.7503
11882.0105	1.0558
0.9007	160.6251
18.9726	44.8883
60131.8556	7.2994
0.9824	141.4358
6.4496	29.5152
4.0913	85.9652
0.9210	154.2291
0.8999	160.9379
3190.2942	126.6378
1.7528	89.9237
3.9034	141.4836
0.9872	140.6364
1.0192	135.8414
0.9043	159.3586
1.0778	128.6169
1.3020	33.4534
0.0158	132.4447
101.0463	10.6621
4.3609	150.7206
4218.9457	19.5776
1.0879	127.5143
13.4609	171.5779
0.6889	134.7406
0.9210	154.2288
4411.6600	6.5451
0.5905	136.4575
0.9387	149.8530
1.1769	119.1671
1.0104	137.0961
1141.3811	17.9704
0.8956	162.6613
1.2427	60.2944
1.1487	160.9694
0.9285	152.2954
0.9404	149.4646
0.9189	154.8097
1.0257	134.9557
4.1876	118.9869
0.9218	154.0234
52.7501	14.7885
1.1334	122.9828
5.1170	89.6739
0.0711	113.1025
0.7168	99.7972
0.8938	163.4387
0.9766	142.4196
1.5209	98.6815
0.1058	157.4236
17.3893	146.9915
1.0319	134.1370
0.9127	156.6346
267.4637	9.5778
1.0851	127.8177
2.3587	52.7884
0.9133	156.4484
0.0433	134.0062
0.0457	86.5311
0.9130	156.5243
0.5044	102.0600
0.3034	158.0583
0.9010	160.5329
111.9283	11.6138
0.1593	163.7216
0.3172	158.8776
73175.9954	1.3230
0.2624	142.8406
0.1273	155.8795
5.6791	170.4289
1.1379	122.5741
0.8992	161.2254
0.9379	150.0332
0.9383	149.9450
6.2379	164.1701
0.8687	166.7674
0.9040	42.8004
0.1547	53.3789
22.6601	55.3565
1.1743	119.3791
24.1943	61.0146
0.9005	160.6991
0.1010	142.2103
0.9060	158.7711
0.9283	152.3305
1511957.9387	0.8916
1.6086	129.3501
221.5793	16.9566
1243.8976	7.0767
0.1440	127.1764
0.9775	142.2626
1.5541	97.2572
10.2583	152.4852
0.9827	141.3731
17.3713	25.9352
1.2068	116.7718
29.0514	102.3111
501.4818	150.5884
0.6787	155.0559
7508.8599	3.7351
0.8847	168.1400
0.9070	158.4345
2.7978	69.7018
0.9982	138.9007
1.0464	132.2924
0.3339	144.3939
7.1593	142.7303
8.2810	126.1888
1.0582	130.8603
1.6423	93.7761
0.9310	151.6647
0.1865	145.8983
0.6598	158.4644
4.3554	53.2635
1.6683	158.5942
1.1559	120.9564
1.4589	101.5278
0.6704	156.0914
0.1155	99.9435
48.1945	14.8007
1.1282	155.0466
0.8927	163.9389
3.1485	63.6357
1.5736	96.4507
0.9418	149.1731
0.9131	156.4895
1.3675	106.2644
1232.8883	146.9714
23.0966	22.4417
0.9676	144.0077
118.8723	11.0367
0.9178	155.1351
25.4407	176.5886
4.3895	53.0398
0.1737	133.0868
0.9610	145.2407
5.0046	76.4967
0.9863	140.7818
0.8934	163.5960
5.0549	116.0243
0.9830	141.3303
1.1858	118.4389
83.7857	11.7159
0.9224	153.8617
0.1327	150.9669
0.9024	160.0240
0.8949	162.9401
3.4196	60.7810
0.9291	152.1396
0.9397	149.6221
7.5561	51.2598
35.4338	157.1147
66.1492	50.8387
2.0362	28.5927
96.6158	164.9828
1.0301	134.3739
1.3486	107.3339
5.9679	22.1384
0.1446	130.5554
0.9492	147.5787
1.9173	85.0052
13.6701	168.2869
1.5669	96.7261
1934.5061	5.5491
0.9918	139.9093
0.9476	147.9145
0.9851	140.9813
1.1713	119.6321
1.0457	132.3796
0.0269	130.2478
0.0782	108.5793
1.0193	135.8282
17.6764	135.7306
1.7069	150.4224
0.9345	150.8381
10.3136	12.3961
1.0251	135.0370
2.5033	151.4368
4.0627	66.5469
0.9115	156.9896
54.5289	14.5435
1.0461	132.3267
0.3685	146.9409
1.1460	121.8325
0.1879	138.4732
0.9057	158.8570
0.9268	152.7184
44.7636	139.3576
5.2395	165.4921
0.9150	155.9482
0.8855	167.6448
1684.1839	8.2668
569.8484	17.0637
95.5376	134.1082
5.1934	91.1514
4.3694	18.2806
10.1906	34.8029
1.1973	117.5177
1.2422	114.1551
0.9506	147.2968
0.9776	142.2409
0.1595	97.1562
0.3301	162.1952
0.9165	37.6880
5068.9448	7.0736
0.9006	160.6731
1.0429	142.1410
3.7065	157.7783
0.9000	160.9161
1083.6419	3.5749
2.7325	77.0204
2.0831	32.0500
24.8835	10.4356
0.0573	136.9276
451.5752	2.5013
3.3499	138.3289
8626.9401	28.1503
126.0158	9.4953
0.4399	95.8989
0.9129	156.5471
0.1579	156.2207
2.3084	44.8416
1.0619	130.4275
15.1878	27.7729
5.9951	136.7488
1.5130	161.9543
157.3663	154.5257
0.9558	146.2459
0.6167	94.3723
0.9809	141.6774
0.9026	159.9283
1.9678	67.9479
0.2707	158.0274
1.2513	113.5092
0.9175	155.2181
0.9045	159.2583
0.5233	148.3558
0.8905	164.9507
9.4701	45.2115
3.0280	65.0428
0.1277	115.3716
0.9340	150.9517
2867.6562	9.4136
404.9682	17.2975
2.8525	72.2130
1.1803	118.8857
1.4586	143.9887
0.9192	154.7352
1566.3966	2.6256
0.1366	127.3001
1.3875	102.4329
0.2175	157.2390
0.4131	161.0880
0.8865	167.0637
1.1069	125.5499
0.0531	105.4499
0.9487	147.6949
0.0158	127.3139
0.1370	146.2843
0.9148	156.0001
0.8900	165.2124
7.3411	153.0313
0.9403	149.4957
0.0346	115.2378
0.9012	160.4382
1.0028	138.2043
305.5293	21.7579
0.9034	159.6645
0.9484	147.7495
1.0352	133.7002
65.6386	83.3352
0.8871	166.7011
0.9672	144.0846
0.9054	158.9832
0.9128	156.5966
36.5629	17.7900
0.9325	151.3023
1.1196	124.2916
5.5781	129.5625
3.0493	72.6439
2.8702	160.8963
0.9178	155.1310
1.1442	121.9932
0.1323	117.6963
0.2213	160.5095
0.9734	142.9701
0.9728	143.0741
1.3505	75.2983
81.2644	60.7144
0.9072	158.3464
0.9107	157.2362
1.7368	154.0382
0.0913	148.1883
0.9183	154.9998
1.4085	104.0487
0.9606	145.3047
0.9252	153.1308
1.0252	135.0294
6.0480	132.4228
1.0087	137.3357
0.9111	157.1015
0.8904	165.0143
0.9704	143.4939
176.9970	10.0691
0.9344	150.8596
1.0657	129.9787
0.3832	118.9959
0.9150	155.9437
0.9362	150.4388
1.1535	154.8853
1963.6257	2.3588
1.0399	150.0932
7.7229	58.2132
85.1515	151.3391
85.1515	151.3391
0.0518	132.9094
0.9321	151.4119
0.9173	155.2585
2.3935	74.4133
0.7366	77.3244
11.1965	32.4655
0.8285	74.3449
5.0459	162.6275
0.2162	144.0065
114.2529	18.1648
18.3058	22.6693
0.9415	149.2412
2.1890	121.0226
0.2673	152.4498
0.1207	91.1524
3.2224	133.9366
0.9904	140.1259
0.2073	163.3497
0.1620	131.0416
23.1459	22.4174
0.9983	138.8869
0.1209	148.4904
0.7253	161.1248
375.4109	170.8407
190.7362	7.7438
0.1125	156.1688
0.9853	140.9510
