Z,A,"Y(Z,A)"
38,9.30E+01,2.90E-02
38,9.40E+01,1.02E-02
38,9.50E+01,1.81E-03
38,9.60E+01,1.64E-04
38,9.70E+01,7.74E-06
39,8.90E+01,7.99E-06
39,9.00E+01,1.76E-04
39,9.10E+01,1.99E-03
39,9.20E+01,1.17E-02
39,9.30E+01,3.61E-02
39,9.40E+01,5.74E-02
39,9.50E+01,4.58E-02
39,9.60E+01,1.86E-02
39,9.70E+01,3.96E-03
39,9.80E+01,4.46E-04
39,9.90E+01,2.66E-05
40,9.10E+01,3.26E-06
40,9.20E+01,8.62E-05
40,9.30E+01,1.20E-03
40,9.40E+01,8.56E-03
40,9.50E+01,3.08E-02
40,9.60E+01,5.63E-02
40,9.70E+01,5.39E-02
40,9.80E+01,2.73E-02
40,9.90E+01,7.34E-03
40,1.00E+02,1.06E-03
40,1.01E+02,8.30E-05
40,1.02E+02,3.58E-06
41,9.30E+01,1.05E-06
41,9.40E+01,3.39E-05
41,9.50E+01,5.49E-04
41,9.60E+01,4.52E-03
41,9.70E+01,1.95E-02
41,9.80E+01,4.45E-02
41,9.90E+01,5.37E-02
41,1.00E+02,3.48E-02
41,1.01E+02,1.23E-02
41,1.02E+02,2.39E-03
41,1.03E+02,2.50E-04
41,1.04E+02,1.41E-05
42,9.60E+01,9.65E-06
42,9.70E+01,1.87E-04
42,9.80E+01,1.92E-03
42,9.90E+01,1.05E-02
42,1.00E+02,3.05E-02
42,1.01E+02,4.86E-02
42,1.02E+02,4.24E-02
42,1.03E+02,2.00E-02
42,1.04E+02,5.09E-03
42,1.05E+02,7.09E-04
42,1.06E+02,5.40E-05
42,1.07E+02,2.21E-06
43,9.80E+01,2.21E-06
43,9.90E+01,5.40E-05
43,1.00E+02,7.09E-04
43,1.01E+02,5.09E-03
43,1.02E+02,2.00E-02
43,1.03E+02,4.24E-02
43,1.04E+02,4.86E-02
43,1.05E+02,3.05E-02
43,1.06E+02,1.05E-02
43,1.07E+02,1.92E-03
43,1.08E+02,1.87E-04
43,1.09E+02,9.65E-06
44,1.01E+02,1.41E-05
44,1.02E+02,2.50E-04
44,1.03E+02,2.39E-03
44,1.04E+02,1.23E-02
44,1.05E+02,3.48E-02
44,1.06E+02,5.37E-02
44,1.07E+02,4.45E-02
44,1.08E+02,1.95E-02
44,1.09E+02,4.52E-03
44,1.10E+02,5.49E-04
44,1.11E+02,3.39E-05
44,1.12E+02,1.05E-06
45,1.03E+02,3.58E-06
45,1.04E+02,8.30E-05
45,1.05E+02,1.06E-03
45,1.06E+02,7.34E-03
45,1.07E+02,2.73E-02
45,1.08E+02,5.39E-02
45,1.09E+02,5.63E-02
45,1.10E+02,3.08E-02
45,1.11E+02,8.56E-03
45,1.12E+02,1.20E-03
45,1.13E+02,8.62E-05
45,1.14E+02,3.26E-06
46,1.06E+02,2.66E-05
46,1.07E+02,4.46E-04
46,1.08E+02,3.96E-03
46,1.09E+02,1.86E-02
46,1.10E+02,4.58E-02
46,1.11E+02,5.74E-02
46,1.12E+02,3.61E-02
46,1.13E+02,1.17E-02
46,1.14E+02,1.99E-03
46,1.15E+02,1.76E-04
46,1.16E+02,7.99E-06
47,1.08E+02,7.74E-06
47,1.09E+02,1.64E-04
47,1.10E+02,1.81E-03
47,1.11E+02,1.02E-02
47,1.12E+02,2.90E-02
47,1.13E+02,4.22E-02
47,1.14E+02,3.24E-02
47,1.15E+02,1.29E-02
47,1.16E+02,2.63E-03
47,1.17E+02,2.83E-04
47,1.18E+02,1.67E-05
48,1.10E+02,1.90E-06
48,1.11E+02,4.83E-05
48,1.12E+02,6.17E-04
48,1.13E+02,4.05E-03
48,1.14E+02,1.40E-02
48,1.15E+02,2.50E-02
48,1.16E+02,2.30E-02
48,1.17E+02,1.11E-02
48,1.18E+02,2.96E-03
48,1.19E+02,4.29E-04
48,1.20E+02,3.22E-05
48,1.21E+02,1.26E-06
49,1.13E+02,1.03E-05
49,1.14E+02,1.60E-04
49,1.15E+02,1.29E-03
49,1.16E+02,5.34E-03
49,1.17E+02,1.16E-02
49,1.18E+02,1.39E-02
49,1.19E+02,9.08E-03
49,1.20E+02,3.07E-03
49,1.21E+02,5.41E-04
49,1.22E+02,5.10E-05
49,1.23E+02,2.59E-06
50,1.15E+02,1.77E-06
50,1.16E+02,3.29E-05
50,1.17E+02,3.23E-04
50,1.18E+02,1.74E-03
50,1.19E+02,5.11E-03
50,1.20E+02,7.78E-03
50,1.21E+02,6.17E-03
50,1.22E+02,2.62E-03
50,1.23E+02,5.98E-04
50,1.24E+02,7.26E-05
50,1.25E+02,4.69E-06
51,1.18E+02,5.79E-06
51,1.19E+02,7.64E-05
51,1.20E+02,5.23E-04
51,1.21E+02,1.87E-03
51,1.22E+02,3.57E-03
51,1.23E+02,3.67E-03
51,1.24E+02,2.00E-03
51,1.25E+02,5.83E-04
51,1.26E+02,9.15E-05
51,1.27E+02,7.57E-06
52,1.21E+02,1.50E-05
52,1.22E+02,1.29E-04
52,1.23E+02,5.98E-04
52,1.24E+02,1.47E-03
52,1.25E+02,1.93E-03
52,1.26E+02,1.36E-03
52,1.27E+02,5.07E-04
52,1.28E+02,9.28E-05
52,1.29E+02,8.03E-06
53,1.23E+02,2.59E-06
53,1.24E+02,2.87E-05
53,1.25E+02,1.69E-04
53,1.26E+02,5.37E-04
53,1.27E+02,9.00E-04
53,1.28E+02,7.42E-04
53,1.29E+02,2.89E-04
53,1.30E+02,5.51E-05
53,1.31E+02,5.43E-06
54,1.26E+02,5.64E-06
54,1.27E+02,4.25E-05
54,1.28E+02,1.58E-04
54,1.29E+02,2.77E-04
54,1.30E+02,2.37E-04
54,131,1.05E-04
54,132,2.60E-05
54,133,3.86E-06
55,129,7.03E-06
55,130,2.71E-05
55,131,5.42E-05
55,132,6.03E-05
55,133,4.03E-05
55,134,1.29E-05
56,132,3.72E-06
56,133,1.12E-05
56,134,1.61E-05
