Z,A,"Y(Z,A)"
4.10E+01,9.80E+01,4.99E-02
4.10E+01,9.90E+01,4.38E-02
4.10E+01,1.00E+02,2.07E-02
4.10E+01,1.01E+02,5.39E-03
4.10E+01,1.02E+02,7.63E-04
4.10E+01,1.03E+02,5.78E-05
4.10E+01,1.04E+02,2.38E-06
4.20E+01,9.50E+01,1.47E-06
4.20E+01,9.60E+01,4.08E-05
4.20E+01,9.70E+01,5.89E-04
4.20E+01,9.80E+01,4.45E-03
4.20E+01,9.90E+01,1.77E-02
4.20E+01,1.00E+02,3.79E-02
4.20E+01,1.01E+02,4.47E-02
4.20E+01,1.02E+02,2.87E-02
4.20E+01,1.03E+02,9.87E-03
4.20E+01,1.04E+02,1.84E-03
4.20E+01,1.05E+02,1.90E-04
4.20E+01,1.06E+02,1.05E-05
4.30E+01,9.80E+01,1.05E-05
4.30E+01,9.90E+01,1.90E-04
4.30E+01,1.00E+02,1.84E-03
4.30E+01,1.01E+02,9.87E-03
4.30E+01,1.02E+02,2.87E-02
4.30E+01,1.03E+02,4.47E-02
4.30E+01,1.04E+02,3.79E-02
4.30E+01,1.05E+02,1.77E-02
4.30E+01,1.06E+02,4.45E-03
4.30E+01,1.07E+02,5.89E-04
4.30E+01,1.08E+02,4.08E-05
4.30E+01,1.09E+02,1.47E-06
4.40E+01,1.00E+02,2.38E-06
4.40E+01,1.01E+02,5.78E-05
4.40E+01,1.02E+02,7.63E-04
4.40E+01,1.03E+02,5.39E-03
4.40E+01,1.04E+02,2.07E-02
4.40E+01,1.05E+02,4.38E-02
4.40E+01,1.06E+02,4.99E-02
4.40E+01,1.07E+02,3.00E-02
4.40E+01,1.08E+02,9.42E-03
4.40E+01,1.09E+02,1.54E-03
4.40E+01,1.10E+02,1.30E-04
4.40E+01,1.11E+02,5.58E-06
4.50E+01,1.03E+02,1.72E-05
4.50E+01,1.04E+02,3.00E-04
4.50E+01,1.05E+02,2.88E-03
4.50E+01,1.06E+02,1.49E-02
4.50E+01,1.07E+02,4.06E-02
4.50E+01,1.08E+02,5.78E-02
4.50E+01,1.09E+02,4.28E-02
4.50E+01,1.10E+02,1.63E-02
4.50E+01,1.11E+02,3.19E-03
4.50E+01,1.12E+02,3.19E-04
4.50E+01,1.13E+02,1.64E-05
4.60E+01,1.05E+02,5.04E-06
4.60E+01,1.06E+02,1.18E-04
4.60E+01,1.07E+02,1.46E-03
4.60E+01,1.08E+02,9.42E-03
4.60E+01,1.09E+02,3.16E-02
4.60E+01,1.10E+02,5.48E-02
4.60E+01,1.11E+02,4.85E-02
4.60E+01,1.12E+02,2.20E-02
4.60E+01,1.13E+02,5.12E-03
4.60E+01,1.14E+02,6.12E-04
4.60E+01,1.15E+02,3.77E-05
4.60E+01,1.16E+02,1.20E-06
4.70E+01,1.07E+02,1.39E-06
4.70E+01,1.08E+02,4.08E-05
4.70E+01,1.09E+02,6.21E-04
4.70E+01,1.10E+02,4.88E-03
4.70E+01,1.11E+02,1.96E-02
4.70E+01,1.12E+02,4.02E-02
4.70E+01,1.13E+02,4.25E-02
4.70E+01,1.14E+02,2.31E-02
4.70E+01,1.15E+02,6.44E-03
4.70E+01,1.16E+02,9.30E-04
4.70E+01,1.17E+02,7.07E-05
4.70E+01,1.18E+02,2.86E-06
4.80E+01,1.10E+02,1.15E-05
4.80E+01,1.11E+02,2.10E-04
4.80E+01,1.12E+02,1.96E-03
4.80E+01,1.13E+02,9.37E-03
4.80E+01,1.14E+02,2.31E-02
4.80E+01,1.15E+02,2.92E-02
4.80E+01,1.16E+02,1.91E-02
4.80E+01,1.17E+02,6.59E-03
4.80E+01,1.18E+02,1.21E-03
4.80E+01,1.19E+02,1.18E-04
4.80E+01,1.20E+02,6.16E-06
4.90E+01,1.12E+02,2.53E-06
4.90E+01,1.13E+02,5.49E-05
4.90E+01,1.14E+02,6.12E-04
4.90E+01,1.15E+02,3.52E-03
4.90E+01,1.16E+02,1.04E-02
4.90E+01,1.17E+02,1.63E-02
4.90E+01,1.18E+02,1.36E-02
4.90E+01,1.19E+02,6.01E-03
4.90E+01,1.20E+02,1.42E-03
4.90E+01,1.21E+02,1.81E-04
4.90E+01,1.22E+02,1.23E-05
5.00E+01,1.15E+02,1.13E-05
5.00E+01,1.16E+02,1.52E-04
5.00E+01,1.17E+02,1.07E-03
5.00E+01,1.18E+02,4.05E-03
5.00E+01,1.19E+02,8.13E-03
5.00E+01,1.20E+02,8.73E-03
5.00E+01,1.21E+02,5.04E-03
5.00E+01,1.22E+02,1.55E-03
5.00E+01,1.23E+02,2.45E-04
5.00E+01,1.24E+02,1.94E-05
5.10E+01,1.17E+02,1.88E-06
5.10E+01,1.18E+02,3.21E-05
5.10E+01,1.19E+02,2.92E-04
5.10E+01,1.20E+02,1.42E-03
5.10E+01,1.21E+02,3.73E-03
5.10E+01,1.22E+02,5.21E-03
5.10E+01,1.23E+02,3.73E-03
5.10E+01,1.24E+02,1.34E-03
5.10E+01,1.25E+02,2.54E-04
5.10E+01,1.26E+02,2.64E-05
5.10E+01,1.27E+02,1.42E-06
5.20E+01,1.20E+02,6.16E-06
5.20E+01,1.21E+02,7.32E-05
5.20E+01,1.22E+02,4.64E-04
5.20E+01,1.23E+02,1.51E-03
5.20E+01,1.24E+02,2.45E-03
5.20E+01,1.25E+02,2.10E-03
5.20E+01,1.26E+02,9.93E-04
5.20E+01,1.27E+02,2.42E-04
5.20E+01,1.28E+02,2.86E-05
5.20E+01,1.29E+02,1.71E-06
5.30E+01,1.22E+02,1.10E-06
5.30E+01,1.23E+02,1.62E-05
5.30E+01,1.24E+02,1.19E-04
5.30E+01,1.25E+02,4.64E-04
53,1.26E+02,9.93E-04
53,1.27E+02,1.10E-03
53,1.28E+02,5.89E-04
53,1.29E+02,1.60E-04
53,1.30E+02,2.41E-05
53,1.31E+02,1.93E-06
54,1.25E+02,2.72E-06
54,1.26E+02,2.64E-05
54,1.27E+02,1.32E-04
54,1.28E+02,3.22E-04
54,1.29E+02,3.96E-04
54,1.30E+02,2.70E-04
54,131,9.82E-05
54,132,1.73E-05
54,133,1.58E-06
55,128,4.67E-06
55,129,2.61E-05
55,130,8.06E-05
55,131,1.33E-04
55,132,1.06E-04
55,133,4.40E-05
55,134,1.19E-05
55,135,2.06E-06
56,131,4.78E-06
56,132,1.73E-05
56,133,3.25E-05
56,134,4.00E-05
56,135,3.12E-05
57,134,3.56E-06
57,135,1.26E-05
