    a0p5smza				     A T O M I C   M A S S   A D J U S T M E N T
						     DATE 19 Nov 2003 TIME 17:22
	**************************			    A=   0 TO 293
	* file : mass.mas03round *
	**************************

  This is one file out of a series of 3 files published in:
      "The Ame2003 atomic mass evaluation (II)"  by G.Audi, A.H.Wapstra and C.Thibault
	  Nuclear Physics A729 p. 337-676, December 22, 2003.
		      for files : mass.mas03  atomic masses
				  rct1.mas03  react and sep energies,  part 1
				  rct2.mas03  react and sep energies,  part 2

  A fourth file  is the "Rounded" version of the atomic mass table (the first file)
				  mass.mas03round  atomic masses "Rounded" version

  All files are 3179 lines long with 124 character per line.
      Headers are 39 lines long.

  Values in the files 1, 2 and 3 are exact (unrounded) copy of the published ones
  Values in the files 4 	 are exact	       copy of the published ones

  col 1     :  Fortran character control: 1 = page feed  0 = line feed
  format    :  a1,i3,i5,i5,i5,1x,a3,a4,1x,f13.5,f11.5,f11.3,f9.3,1x,a2,f11.3,f9.3,1x,i3,1x,f12.5,f11.3,1x
	       cc NZ  N  Z  A	 el  o     mass  unc binding unc     B  beta  unc    atomic_mass   unc
  Warnings  :  this format is not identical to the one used in Ame1993 and Ame1995
		     in particular "Mass Excess" and "Atomic Mass" values are given now, when necessary,
		     with 5 digits after decimal point.
		     also, the "Binding Energy" column is replaced by a "Binding Energy per A" one.
	       decimal point is replaced by # for (non-experimental) estimated values.
	       * in place of value : not calculable

...+....1....+....2....+....3....+....4....+....5....+....6....+....7....+....8....+....9....+...10....+...11....+...12....
							      MASS LIST
							    ground states
							   for publication
						       (rounding threshold 30)
       N    Z	A  El	    Mass Excess 	Binding Energy/A   	    Atomic Mass
			       (keV)		      (keV)	              (micro-u)
      23   12	   Mg    35017340#	 430#
      22   13	   Al    34999860	 190
      21   14	   Si    34984580	  40
      20   15	   P     34973314.1	   2.0
      19   16	   S     34969032.16	   0.11
      18   17	   Cl    34968852.68	   0.04
      17   18	   Ar    34975257.6	   0.8
      16   19	   K     34988010	  21
      15   20	   Ca    35004940#	 210#
      25   11	36 Na    36051480#	1020#
      24   12	   Mg    36023000#	 540#
      23   13	   Al    36006210	 230
      22   14	   Si    35986600	 130
      21   15	   P     35978260	  14
      20   16	   S     35967080.76	   0.20
      19   17	   Cl    35968306.98	   0.08
      18   18	   Ar    35967545.106	   0.029
      17   19	   K     35981292	   8
      16   20	   Ca    35993090	  40
      15   21	   Sc    36014920#	 540#
      26   11	37 Na    37059340#	1030#
      25   12	   Mg    37031400#	 970#
      24   13	   Al    37010680	 360
      23   14	   Si    36992940	 180
      22   15	   P     36979610	  40
      21   16	   S     36971125.57	   0.21
      20   17	   Cl    36965902.59	   0.05
      19   18	   Ar    36966776.32	   0.22
      18   19	   K     36973375.89	   0.10
      17   20	   Ca    36985870	  24
      16   21	   Sc    37003050#	 320#
      26   12	38 Mg    38037570#	 540#
      25   13	   Al    38017230	 780
      24   14	   Si    37995630	 150
      23   15	   P     37984160	 110
      22   16	   S     37971163	   8
      21   17	   Cl    37968010.43	   0.10
      20   18	   Ar    37962732.4	   0.4
      19   19	   K     37969081.2	   0.5
      18   20	   Ca    37976318	   5
      17   21	   Sc    37994700#	 320#
      16   22	   Ti    38009770#	 270#
      27   12	39 Mg    39046770#	 550#
      26   13	   Al    39022970	1580
      25   14	   Si    39002070	 360
      24   15	   P     38986180	 110
      23   16	   S     38975130	  50
