CoboID,AsadID,AgetID,ChannelID,Siliconface,PadID
10,1,3,36,1,17
10,1,3,37,3,19
10,1,3,38,1,16
10,1,3,39,3,18
10,1,3,40,1,19
10,1,3,41,3,20
10,1,3,42,1,18
10,1,3,43,3,21
10,1,3,44,1,21
10,1,3,46,3,22
10,1,3,47,1,20
10,1,3,48,3,24
10,1,3,49,1,23
10,1,3,50,3,23
10,1,3,51,1,22
10,1,3,52,3,26
10,1,3,53,1,25
10,1,3,54,3,25
10,1,3,55,1,24
10,1,3,57,3,28
10,1,3,58,1,27
10,1,3,59,3,27
10,1,3,60,1,26
10,1,3,61,3,30
10,1,3,62,1,29
10,1,3,63,3,29
10,1,3,64,1,28
10,1,3,65,3,31
10,1,3,66,1,30
10,1,3,67,3,59
10,0,0,0,2,35
10,0,0,1,0,30
10,0,0,2,2,31
10,0,0,3,0,29
10,0,0,4,2,29
10,0,0,5,0,28
10,0,0,6,2,30
10,0,0,7,0,27
10,0,0,8,2,27
10,0,0,9,0,26
10,0,0,10,2,28
10,0,0,12,0,25
10,0,0,13,2,25
10,0,0,14,0,24
10,0,0,15,2,26
10,0,0,16,0,23
10,0,0,17,2,23
10,0,0,18,0,22
10,0,0,19,2,24
10,0,0,20,0,21
10,0,0,21,2,21
10,0,0,23,0,20
10,0,0,24,2,22
10,0,0,25,0,19
10,0,0,26,2,19
10,0,0,27,0,18
10,0,0,28,2,20
10,0,0,29,0,17
10,0,0,30,2,17
10,0,0,31,0,16
10,0,0,32,2,18
10,0,0,33,0,15
10,0,0,34,2,15
10,0,0,35,0,13
10,0,0,36,2,16
10,0,0,37,0,14
10,0,0,38,2,13
10,0,0,39,0,12
10,0,0,40,2,14
10,0,0,41,0,10
10,0,0,42,2,11
10,0,0,43,0,8
10,0,0,44,2,12
10,0,0,46,0,11
10,0,0,47,2,9
10,0,0,48,0,6
10,0,0,49,2,10
10,0,0,50,0,9
10,0,0,51,2,7
10,0,0,52,0,4
10,0,0,53,2,8
10,0,0,54,0,7
10,0,0,55,2,5
10,0,0,57,0,2
10,0,0,58,2,6
10,0,0,59,0,5
10,0,0,60,2,3
10,0,0,61,0,1
10,0,0,62,2,4
10,0,0,63,0,3
10,0,0,64,2,2
10,0,0,65,0,0
10,0,0,66,2,1
10,0,0,67,0,54
10,0,1,0,2,64
10,0,1,1,0,58
10,0,1,2,2,61
10,0,1,3,0,65
10,0,1,4,2,58
10,0,1,5,0,56
10,0,1,6,2,60
10,0,1,7,0,64
10,0,1,8,2,62
10,0,1,9,0,127
10,0,1,10,2,0
10,0,1,12,0,61
10,0,1,13,2,59
10,0,1,14,0,59
10,0,1,15,2,55
10,0,1,16,0,57
10,0,1,17,2,57
10,0,1,18,0,52
10,0,1,19,2,53
10,0,1,20,0,55
10,0,1,21,2,51
10,0,1,23,0,50
10,0,1,24,2,56
10,0,1,25,0,48
10,0,1,26,2,54
10,0,1,27,0,49
10,0,1,28,2,49
10,0,1,29,0,46
10,0,1,30,2,50
10,0,1,31,0,51
10,0,1,32,2,47
10,0,1,33,0,44
10,0,1,34,2,48
10,0,1,35,0,53
10,0,1,36,2,45
10,0,1,37,0,42
10,0,1,38,2,52
10,0,1,39,0,40
10,0,1,40,2,43
10,0,1,41,0,47
10,0,1,42,2,41
10,0,1,43,0,45
10,0,1,44,2,44
10,0,1,46,0,43
10,0,1,47,2,39
10,0,1,48,0,38
10,0,1,49,2,46
10,0,1,50,0,41
10,0,1,51,2,40
10,0,1,52,0,36
10,0,1,53,2,37
10,0,1,54,0,35
10,0,1,55,2,36
10,0,1,57,0,34
10,0,1,58,2,33
10,0,1,59,0,37
10,0,1,60,2,32
10,0,1,61,0,32
10,0,1,62,2,34
10,0,1,63,0,39
10,0,1,64,2,38
10,0,1,65,0,33
10,0,1,66,2,42
10,0,1,67,0,31
10,0,2,0,2,96
10,0,2,1,0,73
10,0,2,2,2,92
10,0,2,3,0,77
10,0,2,4,2,94
10,0,2,5,0,95
10,0,2,6,2,95
10,0,2,7,0,91
10,0,2,8,2,90
10,0,2,9,0,93
10,0,2,10,2,93
10,0,2,12,0,89
10,0,2,13,2,91
10,0,2,14,0,94
10,0,2,15,2,89
10,0,2,16,0,92
10,0,2,17,2,88
