CoboID,AsadID,AgetID,ChannelID,PadID,SizeID
7,2,3,13,9263,1
7,2,3,14,8596,0
7,2,3,15,9264,1
7,2,3,16,8595,0
7,2,3,17,9353,1
7,2,3,18,8379,0
7,2,3,19,9354,1
7,2,3,20,9166,1
7,2,3,21,9355,1
7,2,3,23,9525,1
7,2,3,24,9356,1
7,2,3,25,7193,0
7,2,3,26,8378,0
7,2,3,27,9524,1
7,2,3,28,8594,0
7,2,3,29,9530,1
7,2,3,30,8593,0
7,2,3,31,9531,1
7,2,3,32,8801,0
7,2,3,33,9532,1
7,2,3,34,9523,1
7,2,3,35,9533,1
7,2,3,36,8802,0
7,2,3,37,7196,0
7,2,3,38,8800,0
7,2,3,39,9349,1
7,2,3,40,8799,0
7,2,3,41,9439,1
7,2,3,42,8591,0
7,2,3,43,9526,1
7,2,3,44,8592,0
7,2,3,46,9610,1
7,2,3,47,8376,0
7,2,3,48,9609,1
7,2,3,49,8797,0
7,2,3,50,9611,1
7,2,3,51,8798,0
7,2,3,52,9608,1
7,2,3,53,8590,0
7,2,3,54,9527,1
7,2,3,55,8589,0
7,2,3,57,9614,1
7,2,3,58,8373,0
7,2,3,59,9615,1
7,2,3,60,9007,0
7,2,3,61,9616,1
7,2,3,62,9008,0
7,2,3,63,9617,1
7,2,3,64,9607,1
7,2,3,65,9440,1
7,2,3,66,9606,1
7,2,3,67,9350,1
7,2,2,0,9006,0
7,2,2,1,9612,1
7,2,2,2,9005,0
7,2,2,3,9528,1
7,2,2,4,9004,0
7,2,2,5,9441,1
7,2,2,6,9003,0
7,2,2,7,9351,1
7,2,2,8,7937,0
7,2,2,9,9613,1
7,2,2,10,7944,0
7,2,2,12,9691,1
7,2,2,13,7945,0
7,2,2,14,9690,1
7,2,2,15,7928,0
7,2,2,16,9688,1
7,2,2,17,7926,0
7,2,2,18,9695,1
7,2,2,19,7925,0
7,2,2,20,9696,1
7,2,2,21,7923,0
7,2,2,23,9697,1
7,2,2,24,9687,1
7,2,2,25,9698,1
7,2,2,26,7929,0
7,2,2,27,9529,1
7,2,2,28,7927,0
7,2,2,29,9442,1
7,2,2,30,7924,0
7,2,2,31,9352,1
7,2,2,32,7922,0
7,2,2,33,9260,1
7,2,2,34,9347,1
7,2,2,35,9259,1
7,2,2,36,9346,1
7,2,2,37,9258,1
7,2,2,38,9345,1
7,2,2,39,9257,1
7,2,2,40,9255,1
7,2,2,41,9163,1
7,2,2,42,9162,1
7,2,2,43,9766,1
7,2,2,44,9161,1
7,2,2,46,9765,1
7,2,2,47,9344,1
7,2,2,48,9256,1
7,2,2,49,9843,1
7,2,2,50,9348,1
7,2,2,51,9844,1
7,2,2,52,9767,1
7,2,2,53,9764,1
7,2,2,54,9768,1
7,2,2,55,9845,1
7,2,2,57,9769,1
7,2,2,58,9846,1
7,2,2,59,9770,1
7,2,2,60,9847,1
7,2,2,61,9771,1
7,2,2,62,9848,1
7,2,2,63,9772,1
7,2,2,64,9849,1
7,2,2,65,9773,1
7,2,2,66,9850,1
7,2,2,67,9774,1
7,2,1,0,9851,1
7,2,1,1,9775,1
7,2,1,2,9852,1
7,2,1,3,9776,1
7,2,1,4,9853,1
7,2,1,5,9840,1
7,2,1,6,9839,1
7,2,1,7,9842,1
7,2,1,8,9838,1
7,2,1,9,9841,1
7,3,1,10,9760,1
7,3,1,12,9907,1
7,3,1,13,9682,1
7,3,1,14,9837,1
7,3,1,15,9601,1
7,3,1,16,9906,1
7,3,1,17,7917,0
7,3,1,18,9836,1
7,3,1,19,9430,1
7,3,1,20,9835,1
7,3,1,21,9759,1
7,3,1,23,9834,1
7,3,1,24,9905,1
7,3,1,25,9833,1
7,3,1,26,9681,1
7,3,1,27,9903,1
7,3,1,28,9600,1
7,3,1,29,9904,1
7,3,1,30,9516,1
7,3,1,31,9967,1
7,3,1,32,9429,1
7,3,1,33,9902,1
7,3,1,34,9339,1
7,3,1,35,9832,1
7,3,1,36,9247,1
7,3,1,37,9757,1
7,3,1,38,9153,1
7,3,1,39,9679,1
7,3,1,40,9758,1
7,3,1,41,9900,1
7,3,1,42,9680,1
7,3,1,43,9971,1
7,3,1,44,9599,1
7,3,1,46,9970,1
7,3,1,47,9515,1
7,3,1,48,9830,1
7,3,1,49,9428,1
7,3,1,50,9755,1
7,3,1,51,9338,1
7,3,1,52,9677,1
7,3,1,53,9246,1
7,3,1,54,9596,1
7,3,1,55,9969,1
7,3,1,57,9512,1
7,3,1,58,9598,1
7,3,1,59,9425,1
7,3,1,60,9514,1
7,3,1,61,9899,1
7,3,1,62,9427,1
7,3,1,63,9829,1
7,3,1,64,9337,1
7,3,1,65,9754,1
7,3,1,66,9901,1
7,3,1,67,9676,1
7,3,0,0,9831,1
7,3,0,1,9595,1
7,3,0,2,9756,1
7,3,0,3,9511,1
7,3,0,4,9678,1
7,3,0,5,10031,1
7,3,0,6,9597,1
7,3,0,7,9898,1
7,3,0,8,9513,1
7,3,0,9,9828,1
7,3,0,10,9426,1
7,3,0,12,9753,1
7,3,0,13,10030,1
7,3,0,14,9675,1
7,3,0,15,9752,1
7,3,0,16,9594,1
7,3,0,17,9968,1
7,3,0,18,9897,1
7,3,0,19,9674,1
7,3,0,20,9827,1
7,3,0,21,9896,1
7,3,0,23,9826,1
7,3,0,24,9751,1
7,3,0,25,9895,1
7,3,0,26,9673,1
7,3,0,27,9825,1
7,3,0,28,9894,1
7,3,0,29,9750,1
7,3,0,30,9824,1
7,3,0,31,9964,1
7,3,0,32,9893,1
7,3,0,33,9963,1
7,3,0,34,7918,0
7,3,0,35,9962,1
