CoboID,AsadID,AgetID,ChannelID,DetKeyword,PadID
7,2,2,46,pad,9765
7,2,2,47,pad,9344
7,2,2,48,pad,9256
7,2,2,49,pad,9843
7,2,2,50,pad,9348
7,2,2,51,pad,9844
7,2,2,52,pad,9767
7,2,2,53,pad,9764
7,2,2,54,pad,9768
7,2,2,55,pad,9845
7,2,2,57,pad,9769
7,2,2,58,pad,9846
7,2,2,59,pad,9770
7,2,2,60,pad,9847
7,2,2,61,pad,9771
7,2,2,62,pad,9848
7,2,2,63,pad,9772
7,2,2,64,pad,9849
7,2,2,65,pad,9773
7,2,2,66,pad,9850
7,2,2,67,pad,9774
7,2,1,0,pad,9851
7,2,1,1,pad,9775
7,2,1,2,pad,9852
7,2,1,3,pad,9776
7,2,1,4,pad,9853
7,2,1,5,pad,9840
7,2,1,6,pad,9839
7,2,1,7,pad,9842
7,2,1,8,pad,9838
7,2,1,9,pad,9841
7,3,1,10,pad,9760
7,3,1,12,pad,9907
7,3,1,13,pad,9682
7,3,1,14,pad,9837
7,3,1,15,pad,9601
7,3,1,16,pad,9906
7,3,1,17,pad,7917
7,3,1,18,pad,9836
7,3,1,19,pad,9430
7,3,1,20,pad,9835
7,3,1,21,pad,9759
7,3,1,23,pad,9834
7,3,1,24,pad,9905
7,3,1,25,pad,9833
7,3,1,26,pad,9681
7,3,1,27,pad,9903
7,3,1,28,pad,9600
7,3,1,29,pad,9904
7,3,1,30,pad,9516
7,3,1,31,pad,9967
7,3,1,32,pad,9429
7,3,1,33,pad,9902
7,3,1,34,pad,9339
7,3,1,35,pad,9832
7,3,1,36,pad,9247
7,3,1,37,pad,9757
7,3,1,38,pad,9153
7,3,1,39,pad,9679
7,3,1,40,pad,9758
7,3,1,41,pad,9900
7,3,1,42,pad,9680
7,3,1,43,pad,9971
7,3,1,44,pad,9599
7,3,1,46,pad,9970
7,3,1,47,pad,9515
7,3,1,48,pad,9830
7,3,1,49,pad,9428
7,3,1,50,pad,9755
7,3,1,51,pad,9338
7,3,1,52,pad,9677
7,3,1,53,pad,9246
7,3,1,54,pad,9596
7,3,1,55,pad,9969
7,3,1,57,pad,9512
7,3,1,58,pad,9598
7,3,1,59,pad,9425
7,3,1,60,pad,9514
7,3,1,61,pad,9899
7,3,1,62,pad,9427
7,3,1,63,pad,9829
7,3,1,64,pad,9337
7,3,1,65,pad,9754
7,3,1,66,pad,9901
7,3,1,67,pad,9676
7,3,0,0,pad,9831
7,3,0,1,pad,9595
7,3,0,2,pad,9756
7,3,0,3,pad,9511
7,3,0,4,pad,9678
7,3,0,5,pad,10031
7,3,0,6,pad,9597
7,3,0,7,pad,9898
7,3,0,8,pad,9513
7,3,0,9,pad,9828
7,3,0,10,pad,9426
7,3,0,12,pad,9753
7,3,0,13,pad,10030
7,3,0,14,pad,9675
7,3,0,15,pad,9752
7,3,0,16,pad,9594
7,3,0,17,pad,9968
7,3,0,18,pad,9897
7,3,0,19,pad,9674
7,3,0,20,pad,9827
7,3,0,21,pad,9896
7,3,0,23,pad,9826
7,3,0,24,pad,9751
7,3,0,25,pad,9895
7,3,0,26,pad,9673
7,3,0,27,pad,9825
7,3,0,28,pad,9894
7,3,0,29,pad,9750
7,3,0,30,pad,9824
7,3,0,31,pad,9964
7,3,0,32,pad,9893
7,3,0,33,pad,9963
7,3,0,34,pad,7918
7,3,0,35,pad,9962
7,3,0,36,pad,9966
7,3,0,37,pad,10086
7,3,0,38,pad,9965
7,3,0,39,pad,9959
7,3,0,40,pad,9961
7,3,0,41,pad,9958
7,3,0,42,pad,9960
7,3,0,43,pad,10029
7,3,0,44,pad,10085
7,3,0,46,pad,10028
7,3,0,47,pad,10084
7,3,0,48,pad,10027
7,3,0,49,pad,10025
7,3,0,50,pad,10026
7,3,0,51,pad,10024
7,3,0,52,pad,10219
7,3,0,53,pad,10023
7,3,0,54,pad,10218
7,3,0,55,pad,10022
7,3,0,57,pad,10217
7,3,0,58,pad,10021
7,3,0,59,pad,10216
7,3,0,60,pad,10083
7,3,0,61,pad,10215
7,3,0,62,pad,10082
7,3,0,63,pad,10135
7,3,0,64,pad,10081
7,3,0,65,pad,10134
7,3,0,66,pad,10080
7,3,0,67,pad,10133
7,3,3,0,pad,8983
7,3,3,1,pad,8996
7,3,3,2,pad,8986
7,3,3,3,pad,8993
7,3,3,4,pad,8984
7,3,3,5,pad,8991
7,3,3,6,pad,8792
7,3,3,7,pad,8990
7,3,3,8,pad,8791
7,3,3,9,pad,8998
7,3,3,10,pad,8583
7,3,3,12,pad,9436
7,3,3,13,pad,8584
7,3,3,14,pad,9435
7,3,3,15,pad,8368
7,3,3,16,pad,8999
7,3,3,17,pad,8789
7,3,3,18,pad,9002
7,3,3,19,pad,9434
7,3,3,20,pad,9000
7,3,3,21,pad,8790
7,3,3,23,pad,8997
7,3,3,24,pad,8582
7,3,3,25,pad,8988
7,3,3,26,pad,8581
7,3,3,27,pad,8995
7,3,3,28,pad,8365
7,3,3,29,pad,8994
7,3,3,30,pad,8787
7,3,3,31,pad,8992
7,3,3,32,pad,8788
7,3,3,33,pad,8989
7,3,3,34,pad,8580
7,3,3,35,pad,8987
7,3,3,36,pad,8579
7,3,3,37,pad,8985
7,3,3,38,pad,8363
7,3,3,39,pad,9522
7,3,3,40,pad,8786
7,3,3,41,pad,9521
7,3,3,42,pad,8785
