bin_384    25.2279 -11.3926 605
bin_385    8.40115 -16.0661 668
bin_386    11.6882 -18.1623 671
bin_387    15.1708 -16.0656 674
bin_388    69.3309 -2.52626 566
bin_389    18.4578 -18.1619 677
bin_390    21.9409 -16.0664 680
bin_391    71.2378 -4.25417 569
bin_392    25.2279 -18.1626 683
bin_393    76.9952 15.1707 75
bin_394    35.4805 -22.8359 770
bin_395    31.9979 -24.9326 767
bin_396    28.7109 -22.8363 764
bin_397    25.2279 -24.9326 761
bin_398    69.3309 -9.29628 644
bin_399    21.9409 -22.8363 758
bin_400    18.4578 -24.9319 755
bin_401    71.2731 -11.3333 647
bin_402    15.1708 -22.8356 752
bin_403    11.6882 -24.9324 749
bin_404    8.40115 -22.8361 746
bin_405    4.91818 -18.1623 665
bin_406    4.91818 -11.3924 587
bin_407    1.63117 -9.29613 584
bin_408    1.63117 -16.0661 662
bin_409    69.3309 -16.0661 722
bin_410    45.5382 -24.9323 779
bin_411    38.7676 -24.9321 773
bin_412    71.155 -18.233 725
bin_413    42.2512 -29.606 854
bin_414    38.7676 -31.7021 851
bin_415    35.4805 -29.6059 848
bin_416    31.9979 -31.7026 845
bin_417    28.7109 -29.6063 842
bin_418    25.2279 -31.7026 839
bin_419    69.3309 -22.8362 800
bin_420    1.63117 -22.8361 740
bin_421    4.91818 -24.9324 743
bin_422    1.63117 -36.3761 896
bin_423    69.5007 -25.9551 803
bin_424    8.40115 -36.3761 902
bin_425    21.9409 -29.6063 836
bin_426    18.4578 -31.7019 833
bin_427    15.1708 -29.6057 830
bin_428    11.6882 -31.7024 827
bin_429    8.40115 -29.6061 824
bin_430    69.3309 -29.6062 878
bin_431    4.91818 -31.7024 821
bin_432    72.3215 18.4578 74
bin_433    69.2595 -36.3065 956
bin_434    1.63117 -29.6061 818
bin_435    62.5608 -36.3755 950
bin_436    65.624 11.5289 46
bin_437    63.4551 15.1713 71
bin_438    63.4556 8.40124 45
bin_439    9.29566 8.40101 29
bin_440    16.0657 8.40101 31
bin_441    22.8357 8.40101 33
bin_442    29.6056 8.40101 35
bin_443    56.6856 8.40101 43
bin_444    64.0632 5.5567 20
bin_445    49.9157 8.40101 41
bin_446    43.1457 8.40101 39
bin_447    36.3757 8.40101 37
bin_448    31.7019 4.91812 10
bin_449    58.7819 4.91812 18
bin_450    52.0119 4.91812 16
bin_451    63.4557 1.63107 19
bin_452    45.2419 4.91812 14
bin_453    38.4914 4.87967 12
bin_454    56.6856 1.63107 17
bin_455    49.9157 1.63107 15
bin_456    43.1457 1.63107 13
bin_457    36.3757 1.63107 11
bin_458    35.4805 -2.52588 536
bin_459    64.2097 -4.10654 563
bin_460    42.2512 -2.52603 542
bin_461    62.5608 -2.5255 560
bin_462    55.7912 -2.52603 554
bin_463    49.0212 -2.52603 548
bin_464    59.0782 -4.62221 557
bin_465    52.3082 -4.62221 551
bin_466    45.5382 -4.62221 545
bin_467    38.7676 -4.62213 539
bin_468    35.4805 -9.2959 614
bin_469    64.4678 -10.7211 641
bin_470    42.2512 -9.29605 620
bin_471    62.5608 -9.29552 638
bin_472    55.7912 -9.29605 632
bin_473    49.0212 -9.29605 626
bin_474    59.0782 -11.3923 635
bin_475    52.3082 -11.3923 629
bin_476    45.5382 -11.3923 623
bin_477    38.7676 -11.3922 617
bin_478    62.5608 -16.0655 716
bin_479    31.9979 -11.3926 611
bin_480    64.1568 -18.1835 719
bin_481    35.4805 -16.0658 692
bin_482    55.7912 -16.066 710
bin_483    49.0212 -16.066 704
bin_484    59.0782 -18.1622 713
bin_485    52.3082 -18.1622 707
bin_486    45.5382 -18.1622 701
bin_487    62.5608 -22.8356 794
bin_488    42.2512 -16.066 698
bin_489    38.7676 -18.1621 695
bin_490    55.7912 -22.836 788
bin_491    64.0784 -24.9922 797
bin_492    49.0212 -22.836 782
bin_493    52.3082 -24.9323 785
bin_494    59.0782 -24.9323 791
bin_495    49.0212 -29.606 860
bin_496    52.3082 -31.7023 863
